Selma;1
Lust In The Dust;1
My Darling Clementine;1
Scott Pilgrim V.S. The World;9
Ghostbusters;2
Kill Bill;4
The Muppet Christmas Carol;2
Super;1
Harry Potter And The Prisoner Of Azkaban;2
The Jungle Book;1
Source Code;1
Pulp Fiction;22
Bicycle Thieves;3
Invasion Of The Body Snatchers;1
Mad Max: Fury Road;28
The Thin Man;1
Ugetsu;1
Smilin' Through;1
Heavenly Creatures;1
The Master;5
Eraserhead;6
Flash Gordon;1
Fright Night;1
Rope;1
Joan At The Stake;1
It's A Mad, Mad, Mad, Mad World;1
Life Of Brian;6
Quigley Down Under;1
Pleasantville;2
Shoah;2
Night Of The Living Dead;3
Die Hard;22
Tombstone;1
West Side Story;3
La Dolce Vita;2
Brazil;11
Reservoir Dogs;3
Good Night, And Good Luck;1
The Breakfast Club;1
The Best Years Of Our Lives;2
The Adventures Of Robin Hood;2
The Lord Of The Rings: The Return Of The King;6
Cache;1
Murder By Death;1
Paris Is Burning;1
V For Vendetta;1
Mr. Smith Goes To Washington;1
Dazed And Confused;3
Black Robe;1
Romeo + Juliet;1
Best In Show;1
The Illusionist;1
Life Is Beautiful;1
The Big Lebowski;26
Auntie Mame;1
Napoleion;1
Fearless;1
Harlan County, USA;1
Heathers;1
Young Frankenstein;4
The Bourne trilogy;1
Once Upon A Time In The West;5
Arthur Christmas;1
Dog Day Afternoon;1
Baby Driver;1
The Good, The Bad, And The Ugly;11
Cinema Paradiso;3
The Bourne Ultimatum;1
The Haunting;1
The 40-Year-Old Virgin;1
The 400 Blows;2
The Sound Of Music;2
The Shape Of Water;1
Serenity;4
North By Northwest;5
Talk To Her;2
Wake In Fright;1
The Odd Couple;1
Seven;4
Julian Po;1
Perfect Blue;2
Hunger;1
A Mighty Wind;3
The Long Good Friday;1
Shaun Of The Dead;6
An American Werewolf In London;2
Gladiator;1
Bringing Up Baby;2
Fast Five;1
Quatermass And The Pit;1
McCabe And Mrs. Miller;1
Sleeping Beauty;1
2001: A Space Odyssey;14
Arrival;4
Rushmore;1
Twelve Monkeys;1
A Hard Day's Night;5
Batman;2
Predator;4
Stranger Than Fiction;2
Clue;4
His Girl Friday;9
Lawrence Of Arabia;10
Paper Moon;2
Songs From The Second Floor;1
The Rules Of The Game;1
Children Of Paradise;1
Battle Royale;1
Forrest Gump;1
The Unberabale Lightness Of Being;1
City Of God;6
Blazing Saddles;7
Fight Club;2
Grand Illusion;1
M;4
The Strangers;1
The Philadelphia Story;1
Under The Skin;1
Wings Of Desire;1
Zodiac;9
Once Upon A Time In Mexico;1
The Great Muppet Caper;1
Daisies;1
Street Fighter;1
The Raid: Berandal;1
The Delicate Art Of Parking;1
Kolya;1
Nightmare Alley;1
Colossal;1
Ex Machina;1
The Departed;3
Ikiru;2
Return Of The Jedi;4
Galaxy Quest;1
Spirited Away;8
The 317th Platoon;1
The Third Man;9
Knock Knock;1
Hot Shots!;1
Days Of Heaven;1
Cemetery Of Splendor;1
The Death Of Empedocles;1
101 Dalmatians;2
Gremlins 2: The New Batch;1
Z;1
Vanishing Point;1
Cold Comfort Farm;1
Yi Yi;2
To Have And Have Not;1
Being John Malkovich;3
Kramer V.S. Kramer;1
10 Cloverfield Lane;1
Black Dynamite;3
Wallace & Gromit: The Curse Of The Were-Rabbit;1
Touch Of Evil;1
Moonrise Kingdom;2
Crumb;2
Castle In The Sky;2
F For Fake;2
The Exorcist;2
The Lord Of The Rings: The Fellowship Of The Ring;10
The Royal Tenenbaums;9
The Lord Of The Rings trilogy;3
The Enigma Of Kaspar Hauser;1
A Woman Under The Influence;1
Silent Running;1
Pan's Labyrinth;12
The Prime Of Miss Jean Brodie;1
Ashes Of Time;1
The Umbrellas Of Cherbourg;2
Miller's Crossing;11
Don't Tell Mom The Babysitter's Dead;1
The Wizard Of Oz;5
28 Days Later;4
Stop Making Sense;1
Hairspray;2
Eternal Sunshine Of The Spotless Mind;22
I Killed My Mother;1
Clueless;9
Aladdin;3
Farewell My Concubine;1
Welcome Back, Mr. McDonald;1
The Big Chill;1
Transformers: The Movie;1
